# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2427
#@/user_id	MBP-C1-2017
le 	了	c=73 d=12.0529 t=2427
lei xing 	類型	c=0 d=0.1 t=1911
lei xing bu tong 	類型不同	c=1 d=1 t=1912
li 	裏	c=7 d=1.89655 t=2427
li 	黎	c=0 d=0.0778801 t=2427
li hai 	厲害	c=1 d=0.348192 t=2427
li han 	黎翰	c=3 d=0.99005 t=2427
li hong tao 	黎洪濤	c=1 d=0.782705 t=2427
li ji 	立即	c=2 d=1.97531 t=2136
li li 	李麗	c=0 d=0.0782705 t=2427
li li ping 	李麗萍	c=1 d=0.786628 t=2427
li mian 	裏面	c=8 d=3.09618 t=2427
li shi 	歷史	c=4 d=0.755784 t=2427
li you 	理由	c=0 d=0.1 t=2288
lian 	練	c=0 d=0.1 t=1743
lian 	連	c=2 d=0.108624 t=2427
lian guo duan 	連鍋端	c=1 d=1 t=939
lian jie 	鏈接	c=1 d=0.145876 t=2427
liang nian qian 	兩年前	c=1 d=1 t=1215
liang zhe 	兩者	c=1 d=0.50409 t=2427
lie ju 	列舉	c=2 d=1.69768 t=2181
liu 	流	c=0 d=0.0985112 t=2427
liu cheng 	流程	c=1 d=1 t=1105
liu ji 	六級	c=0 d=0.0794534 t=2427
liu lan qi 	瀏覽器	c=2 d=1.0476 t=2120
liu xing 	流行	c=3 d=0.0599047 t=2427
liu xing yin yue 	流行音樂	c=1 d=0.0617291 t=2427
liu zhe 	留着	c=1 d=1 t=1028
lu 	擼	c=1 d=1 t=1795
lu jing 	路徑	c=1 d=0.965605 t=2427
lun tan 	論壇	c=1 d=1 t=1183
lv ka 	綠卡	c=5 d=1.66523 t=2200
lv le 	綠了	c=1 d=0.0505395 t=2427
lv lv 	綠綠	c=1 d=0.0464212 t=2427
ma 	嗎	c=39 d=4.02068 t=2427
ma ding 	馬丁	c=3 d=1.02705 t=2197
ma fan 	麻煩	c=1 d=1.08511 t=1354
ma li lan 	馬里蘭	c=1 d=1 t=2249
ma shang 	馬上	c=1 d=1 t=1446
mai 	買	c=2 d=1.00129 t=2339
mai dan 	買單	c=1 d=1 t=1895
mai ge 	買個	c=1 d=0.0569831 t=2427
mai le 	買了	c=1 d=1 t=1016
mai le 	賣了	c=2 d=1.23812 t=1312
man 	慢	c=0 d=0.1 t=1923
mao 	貓	c=0 d=0.1 t=1693
mao he lao shu 	貓和老鼠	c=1 d=1 t=1694
mao si 	貌似	c=2 d=1.00698 t=1790
mei 	沒	c=2 d=0.0915577 t=2427
mei ban fa 	沒辦法	c=1 d=1 t=1838
mei ci 	每次	c=2 d=0.149569 t=2427
mei ci 	沒詞	c=1 d=0.148823 t=2427
mei ge ren 	每個人	c=1 d=0.13466 t=2427
mei guo 	沒過	c=1 d=1 t=2320
mei guo 	美國	c=1 d=0.0372538 t=2427
mei li you 	沒理由	c=1 d=1 t=2289
mei na me kuai 	沒那麼快	c=1 d=1 t=2210
mei ne 	沒呢	c=1 d=1 t=1038
mei sha 	沒啥	c=1 d=1 t=2366
mei xia lai 	沒下來	c=1 d=1 t=2201
mei xiang dao 	沒想到	c=1 d=1 t=2040
mei yong 	沒用	c=2 d=1.22038 t=2427
mei you 	沒有	c=33 d=5.2592 t=2427
mei you ne 	沒有呢	c=2 d=0.229925 t=2427
mei you shi jian 	沒有時間	c=1 d=1 t=1867
mei you yu dao 	沒有遇到	c=1 d=1 t=1323
mian 	麪	c=1 d=0.927743 t=2427
mian shi 	面試	c=2 d=1.03916 t=2399
miao hong 	描紅	c=1 d=1 t=1743
ming ling 	命令	c=1 d=1 t=2254
ming xian 	明顯	c=1 d=1 t=1161
ming yue 	明月	c=2 d=1.96042 t=2427
mo hu 	模糊	c=1 d=1.06652 t=2427
mo hu yin 	模糊音	c=1 d=0.965605 t=2427
mo liao 	末了	c=0 d=0.1 t=818
mo shi 	模式	c=1 d=0.951229 t=2427
na 	拿	c=1 d=1 t=1781
na 	那	c=3 d=0.290835 t=2427
na bian 	那邊	c=1 d=1 t=1460
na dao 	拿到	c=1 d=1 t=985
na de 	拿的	c=1 d=1 t=1136
