# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4960
#@/user_id	MBP-2019
a 	啊	c=67 d=7.11815 t=4960
gou le 	夠了	c=1 d=0.726149 t=4960
gu 	股	c=2 d=0.0564162 t=4960
gu ge 	谷歌	c=2 d=0.590287 t=4960
gu ji 	估計	c=11 d=3.42633 t=4960
gu piao 	股票	c=3 d=0.509156 t=4960
gu shi 	股市	c=1 d=0.00149594 t=4960
gua le 	颳了	c=1 d=0.00873865 t=4960
guan 	管	c=1 d=0.514274 t=4960
guan bi 	關閉	c=1 d=1 t=4566
guan lan gao shou 	灌籃高手	c=1 d=0.000323925 t=4960
guan wang 	觀望	c=0 d=0.000114769 t=4960
guan wang yi xia 	觀望一下	c=1 d=0.00115345 t=4960
guan xi 	關係	c=1 d=1 t=4859
guan yu 	關於	c=1 d=1 t=3414
gui ze 	規則	c=1 d=1 t=3690
gun zi 	棍子	c=1 d=0.0144076 t=4960
guo 	國	c=2 d=1.00628 t=4587
guo 	過	c=3 d=0.155672 t=4960
guo chan 	國產	c=1 d=0.826959 t=4960
guo duan 	過段	c=0 d=0.000125578 t=4960
guo duan shi jian 	過段時間	c=1 d=0.00126207 t=4960
guo guan 	過關	c=1 d=1 t=3021
guo hang 	國航	c=1 d=1 t=3331
guo jia 	國家	c=1 d=0.0160027 t=4960
guo la 	過啦	c=1 d=1 t=3621
guo lai 	過來	c=1 d=0.319808 t=4505
guo qi 	國旗	c=1 d=1 t=4254
guo qu 	過去	c=1 d=1 t=4217
guo ran 	果然	c=1 d=1 t=3365
guo wen gui 	郭文貴	c=1 d=1 t=3929
ha 	哈	c=3 d=0.25924 t=4960
ha a 	哈啊	c=1 d=0.0728029 t=4960
ha ha 	哈哈	c=22 d=1.93294 t=4960
ha ha ha 	哈哈哈	c=1 d=1 t=3984
hai 	嗨	c=2 d=1.36422 t=4516
hai 	還	c=19 d=2.01485 t=4960
hai dei 	還得	c=2 d=0.0437178 t=4960
hai hao 	還好	c=8 d=1.05263 t=4960
hai hao ba 	還好吧	c=2 d=1.7788 t=3970
hai jun 	海均	c=5 d=1.00373 t=4334
hai ke yi 	還可以	c=4 d=0.65377 t=4960
hai mei you 	還沒有	c=4 d=1.25416 t=4960
hai mei you ne 	還沒有呢	c=2 d=0.0378039 t=4960
hai pa 	害怕	c=1 d=1 t=2951
hai shi 	還是	c=21 d=2.10433 t=4960
hai wan 	還玩	c=0 d=0.0044601 t=4960
hai wan le 	還玩了	c=1 d=0.0448245 t=4960
hai yao 	還要	c=2 d=1.92312 t=3020
hai you 	還有	c=7 d=0.852689 t=4960
hai you fei ji 	還有飛機	c=1 d=1 t=3327
hai you xiao guo 	還有效果	c=1 d=0.0152222 t=4960
hai zai 	還在	c=4 d=1.02662 t=4771
hai zi 	孩子	c=1 d=1 t=4572
hang 	行	c=1 d=0.205975 t=4960
hao 	好	c=47 d=1.08683 t=4960
hao 	號	c=1 d=0.107227 t=4417
hao bu hao 	好不好	c=0 d=0.1 t=3546
hao bu hao dian 	好不好點	c=1 d=1 t=3547
hao cheng 	好撐	c=1 d=1 t=4708
hao de 	好的	c=10 d=0.249075 t=4960
hao duo 	好多	c=3 d=0.0702134 t=4960
hao duo dong xi 	好多東西	c=1 d=0.687289 t=4960
hao ji ci 	好幾次	c=1 d=0.438235 t=4960
hao jiu 	好久	c=1 d=1 t=2935
hao kan 	好看	c=1 d=0.00252883 t=4960
hao kuai 	好快	c=1 d=0.729789 t=4960
hao le 	好了	c=4 d=1.21406 t=4960
hao lei 	好累	c=1 d=1 t=3804
hao ma 	號碼	c=2 d=1.09442 t=3387
hao ma fan 	好麻煩	c=1 d=0.00470091 t=4960
hao man 	好慢	c=1 d=0.0710054 t=4960
hao shi xian 	好實現	c=1 d=1 t=4096
hao tai duo 	好太多	c=1 d=0.000808767 t=4960
hao wan 	好玩	c=1 d=1 t=2969
hao xiang 	好像	c=34 d=2.88923 t=4960
hao xiang 	好象	c=2 d=0.0905492 t=4960
hao xiang shi 	好象是	c=1 d=0.280832 t=4960
